Time (Sec);S1;S11;S17;S18;S2;S20;S24;S25;S26;S33;S34;S35;S41;S42;S43;S46;S47;S48;S49;S50;S51;S7;
2520.009673333206;19158.209219199707;19141.807382399285;19158.65122399995;19157.608724799356;19157.737717599666;19157.553581599528;19157.22883359922;19157.593863999544;19158.560619199947;19157.77017519957;19157.436028799297;19158.66769759995;19157.31016639947;19157.453578399265;19158.548263999946;19153.877769601015;19152.1501471982;19151.405931197995;19154.040342398384;19153.01827359818;19152.525119998056;19158.822137599956;
2580.0107626665335;19158.168836799705;19141.35187519927;19158.61209919995;19157.56550079935;19157.710795999665;19157.46713359951;19157.18560959921;19157.56504799954;19158.537967999946;19157.726951199562;19157.34389759927;19158.62857279995;19157.266942399463;19157.361447199237;19158.509139199945;19153.72447360104;19151.913118398148;19151.172334397943;19153.925313598353;19152.820228798126;19152.414678398025;19158.799486399956;
2640.009673333193;19158.1400207997;19140.964319999253;19158.579151999947;19157.536684799343;19157.645959999652;19157.380685599495;19157.156793599206;19157.536231999533;19158.521494399945;19157.65785279954;19157.25176639924;19158.587388799948;19157.238126399458;19157.31822319923;19158.486487999944;19153.59405760106;19151.66100959809;19151.048503997914;19153.79888159832;19152.64253759808;19152.327548798003;19158.774775999955;
2700.0096733331843;19158.111204799694;19140.57395519925;19158.548263999946;19157.46758639932;19157.559511999636;19157.337461599487;19157.1279775992;19157.507415999527;19158.505020799945;19157.614628799533;19157.159635199212;19158.548263999946;19157.173290399445;19157.28751279922;19158.461777599943;19153.462726401085;19151.435463998037;19150.898780797877;19153.633147198274;19152.48467839804;19152.24041919798;19158.741828799954;
2760.0096733331793;19158.084283199692;19140.23489759921;19158.517375999945;19157.424362399313;19157.47306399962;19157.272625599475;19157.099161599195;19157.478599999522;19158.488547199944;19157.585812799527;19157.116411199204;19158.525612799946;19157.130066399437;19157.258696799214;19158.439126399942;19153.3485552011;19151.298974398007;19150.76642559785;19153.46075039823;19152.322977597996;19152.161814397958;19158.708881599952;
2820.009673333171;19158.01944719968;19139.811487999174;19158.476191999944;19157.355263999292;19157.432681599617;19157.18617759946;19157.030063199174;19157.41376399951;19158.455599999943;19157.520976799515;19157.047312799183;19158.492665599944;19157.065230399425;19157.22988079921;19158.41441599994;19153.20601280112;19151.105835197966;19150.619511997815;19153.305030398187;19152.118595197942;19151.984303997913;19158.67799359995;
2880.0096733331598;19157.976223199672;19139.32950239915;19158.447363199943;19157.312039999284;19157.405759999616;19157.14295359945;19156.937931999146;19157.327315999493;19158.40617919994;19157.4345287995;19157.004088799174;19158.453540799943;19156.97878239941;19157.160782399187;19158.37323199994;19153.043793601148;19150.882689597915;19150.375230397756;19153.196679998156;19151.968020797904;19151.726799997847;19158.65534239995;
2940.0096733331484;19157.947407199666;19138.85759519914;19158.430889599942;19157.28322399928;19157.378838399614;19157.114137599445;19156.845800799118;19157.240867999477;19158.35675839994;19157.348080799482;19156.97527279917;19158.42059359994;19156.892334399392;19157.06865119916;19158.323811199938;19152.885006401175;19150.69138079787;19150.079838397683;19153.111412798135;19151.88089119788;19151.46929599778;19158.63886879995;
3000.0107626664762;19157.920485599665;19138.414273599134;19158.40617919994;19157.254407999273;19157.351916799613;19157.049301599433;19156.80257679911;19157.15441999946;19158.317633599938;19157.261632799466;19156.906174399148;19158.37940959994;19156.800203199364;19157.02542719915;19158.284686399937;19152.7358288012;19150.44662559781;19149.85063199763;19153.027534398112;19151.754459197848;19151.271724797727;19158.62239519995;
3060.009673333134;19157.855649599653;19137.90229759911;19158.37323199994;19157.225591999268;19157.2870807996;19156.962853599416;19156.773760799104;19157.067971999444;19158.284686399937;19157.17518479945;19156.81404319912;19158.32998879994;19156.713755199347;19156.95632879913;19158.243502399935;19152.56354240123;19150.15123359774;19149.609191997577;19152.861799998067;19151.588724797803;19151.105990397682;19158.589447999948;
3120.009673333127;19157.812425599644;19137.420311999078;19158.34028479994;19157.196775999262;19157.200632799584;19156.8764055994;19156.704662399083;19156.981523999428;19158.243502399935;19157.13196079944;19156.77081919911;19158.301159999937;19156.67053119934;19156.8641975991;19158.204377599934;19152.401323201255;19149.9831359977;19149.372407997525;19152.664457598014;19151.419558397756;19150.889177597626;19158.550323199946;
3180.0096733331193;19157.785503999643;19136.976990399067;19158.317633599938;19157.167959999257;19157.114184799568;19156.83318159939;19156.612531199055;19156.89507599941;19158.194081599933;19157.103144799436;19156.70172079909;19158.276449599936;19156.641715199334;19156.772066399073;19158.171430399932;19152.25214560128;19149.834982397664;19149.176459197482;19152.49206079797;19151.304252797727;19150.62824159756;19158.517375999945;
3240.009673333112;19157.756687999638;19136.503678399058;19158.301159999937;19157.13914399925;19157.02773679955;19156.804365599386;19156.520399999026;19156.851851999403;19158.154956799932;19157.038308799423;19156.609589599062;19158.235265599935;19156.57687919932;19156.679935199045;19158.13024639993;19152.092900801308;19149.588364797604;19148.93019839743;19152.326326397924;19151.217123197704;19150.429691197507;19158.484428799944;
3300.0096733331047;19157.727871999632;19136.051683199017;19158.284686399937;19157.110327999246;19156.941288799535;19156.77554959938;19156.428268798998;19156.78701599939;19158.11377279993;19156.951860799407;19156.566365599054;19158.196140799933;19156.490431199305;19156.636711199037;19158.09112159993;19151.94074880133;19149.356220797552;19148.71071359738;19152.16059199788;19151.13851839768;19150.211489597452;19158.451481599943;
3360.0096733330943;19157.699055999627;19135.524711998998;19158.251739199935;19157.041229599225;19156.85484079952;19156.71071359937;19156.33613759897;19156.743791999383;19158.07464799993;19156.86541279939;19156.497267199033;19158.154956799932;19156.40398319929;19156.567612799015;19158.049937599928;19151.76342880136;19149.111465597492;19148.469747197327;19151.986332797835;19150.961007997637;19150.0095071974;19158.41853439994;
